款,項,目,名,總額
交通局主管,停車管理工程處,停車管理業務,企劃與設施業務,29561998
交通局主管,停車管理工程處,停車管理業務,營運與管理業務,34901481
交通局主管,停車管理工程處,建築及設備,營建工程,4539135
交通局主管,停車管理工程處,建築及設備,其他設備,603000
交通局主管,交通管制工程處,一般行政,行政管理,48529890
交通局主管,交通管制工程處,交通規劃,交通管理規劃,20087247
交通局主管,交通管制工程處,交通管制設施設置,管制設施設計與維護,205631938
交通局主管,交通管制工程處,交通控制管理,交通控制管理,85665527
交通局主管,交通管制工程處,建築及設備,營建工程,3103846
交通局主管,交通管制工程處,建築及設備,交通及運輸設備,550000
交通局主管,交通管制工程處,建築及設備,其他設備,789450
交通局主管,交通管制工程處,交通改善工程,交通改善工程,281515573
交通局主管,公共運輸處,一般行政,行政管理,49239678
交通局主管,公共運輸處,運輸業管理,綜合規劃,249783644
交通局主管,公共運輸處,運輸業管理,大眾運輸管理,2299455254
交通局主管,公共運輸處,運輸業管理,一般運輸業管理,210698617
交通局主管,公共運輸處,運輸業管理,稽查業務,23701633
交通局主管,公共運輸處,運輸業管理,公車處資產負債清理,1200000000
交通局主管,公共運輸處,運輸業管理,智慧運輸管理,100448811
交通局主管,公共運輸處,交通福利業務,身心障礙者交通福利,196143072
交通局主管,公共運輸處,建築及設備,土地購置,193191730
交通局主管,公共運輸處,建築及設備,營建工程,145271875
交通局主管,公共運輸處,建築及設備,其他設備,33764900
交通局主管,公共運輸處,建築及設備,交通及運輸設備,0
交通局主管,公共運輸處,接受補助業務支出,接受中央各部會補助,600000
交通局主管,交通事件裁決所,一般行政,行政管理,59514872
交通局主管,交通事件裁決所,交通裁罰業務,案件管理,26307433
交通局主管,交通事件裁決所,交通裁罰業務,違規裁罰,27878799
交通局主管,交通事件裁決所,交通裁罰業務,違規申訴,18043456
交通局主管,交通事件裁決所,交通裁罰業務,積案催收,45640423
交通局主管,交通事件裁決所,交通裁罰業務,肇事鑑定,8934902
交通局主管,交通事件裁決所,交通裁罰業務,電子處理資料業務,18124813
交通局主管,交通事件裁決所,建築及設備,營建工程,3826615
交通局主管,交通事件裁決所,建築及設備,其他設備,5076120
交通局主管,交通事件裁決所,建築及設備,交通及運輸設備,0
社會局主管,社會局,一般行政,行政管理,161355729
社會局主管,社會局,人民團體輔導,人民團體輔導,29142075
社會局主管,社會局,經濟安全及平宅服務業,經濟安全,8954310922
社會局主管,社會局,經濟安全及平宅服務業,平價住宅服務,33633603
社會局主管,社會局,身心障礙福利業務,身心障礙福利,1182558953
社會局主管,社會局,老人福利業務,老人福利,2055776592
社會局主管,社會局,婦女福利及兒童托育業,兒童托育,52276594
社會局主管,社會局,婦女福利及兒童托育業,婦女福利,37881335
社會局主管,社會局,兒童及少年福利業務,兒童及少年福利,136310470
社會局主管,社會局,綜合企劃業務,綜合企劃業務,17305558
社會局主管,社會局,社會工作業務,社會工作專業服務,163255824
社會局主管,社會局,老人自費安養業務,老人安養服務,45589987
社會局主管,社會局,社會保險業務,社會保險,652386400
社會局主管,社會局,建築及設備,營建工程,343559151
社會局主管,社會局,建築及設備,交通及運輸設備,676000
社會局主管,社會局,建築及設備,其他設備,12615275
社會局主管,社會局,作業基金,臺北市社會福利發展,18000000
社會局主管,社會局,第一預備金,第一預備金,7000000
社會局主管,陽明教養院,一般行政,行政管理,68184971
社會局主管,陽明教養院,院民教養,院民社會工作,202073395
社會局主管,陽明教養院,保健醫療業務,保健醫療,26918457
社會局主管,陽明教養院,建築及設備,其他設備,2330350
社會局主管,陽明教養院,建築及設備,營建工程,0
社會局主管,浩然敬老院,一般行政,行政管理,49706693
社會局主管,浩然敬老院,院民教養,院民社會工作,14342937
社會局主管,浩然敬老院,院民教養,院民安養服務,130124919
社會局主管,浩然敬老院,保健醫療業務,保健醫療,54287550
社會局主管,浩然敬老院,建築及設備,營建工程,2869220
社會局主管,浩然敬老院,建築及設備,其他設備,2856172
社會局主管,浩然敬老院,建築及設備,交通及運輸設備,0
社會局主管,家庭暴力暨性侵害防治中,一般行政,行政管理,20003984
社會局主管,家庭暴力暨性侵害防治中,家庭暴力暨性侵害防治,家庭暴力暨性侵害防,201278219
社會局主管,家庭暴力暨性侵害防治中,建築及設備,營建工程,66824997
社會局主管,家庭暴力暨性侵害防治中,建築及設備,其他設備,2682801
勞動局主管,勞動局,一般行政,行政管理,83683074
勞動局主管,勞動局,和諧勞資關係,工會組織及勞動權益,128341165
勞動局主管,勞動局,勞工保險業務,勞健保勞工保險費補,4472886634
勞動局主管,勞動局,就業促進措施,就業安全,15406821
勞動局主管,勞動局,勞動教育文化,勞動教育文化,44347910
勞動局主管,勞動局,接受補助業務支出,接受中央各部會補助,35632256
勞動局主管,勞動局,建築及設備,營建工程,15795620
勞動局主管,勞動局,建築及設備,其他設備,1191446
勞動局主管,勞動局,第一預備金,第一預備金,2550000
勞動局主管,就業服務處,一般行政,行政管理,30414679
勞動局主管,就業服務處,就業服務,就業輔導,50696664
勞動局主管,就業服務處,就業服務,就業促進,17330573
勞動局主管,就業服務處,就業服務,就業情報蒐集、整理,12858996
勞動局主管,就業服務處,就業服務,雇主服務,20184386
勞動局主管,就業服務處,建築及設備,營建工程,28340860
勞動局主管,就業服務處,建築及設備,其他設備,999573
勞動局主管,職能發展學院,一般行政,行政管理,78433747
勞動局主管,職能發展學院,職能發展,職能培育,102951196
勞動局主管,職能發展學院,職能發展,職能評量,12658985
勞動局主管,職能發展學院,建築及設備,營建工程,450000
勞動局主管,職能發展學院,建築及設備,其他設備,12207583
勞動局主管,勞動檢查處,一般行政,行政管理,31106584
勞動局主管,勞動檢查處,勞動檢查業務,職業安全衛生,65502493
勞動局主管,勞動檢查處,勞動檢查業務,勞動條件,13292359
勞動局主管,勞動檢查處,建築及設備,營建工程,16412240
勞動局主管,勞動檢查處,建築及設備,其他設備,718272
勞動局主管,勞動檢查處,建築及設備,交通及運輸設備,0
勞動局主管,勞動力重建運用處,一般行政,行政管理,21157716
勞動局主管,勞動力重建運用處,身障就業重建業務,身障就業促進業務,21403959
勞動局主管,勞動力重建運用處,外勞事務管理,外勞諮詢及檢查業務,7175862
勞動局主管,勞動力重建運用處,建築及設備,營建工程,16259160
勞動局主管,勞動力重建運用處,建築及設備,其他設備,136365
警察局主管,警察局,一般行政,行政管理,1878206275
警察局主管,警察局,警政業務,警察勤務,915384699
警察局主管,警察局,警政業務,分局業務,6260064420
警察局主管,警察局,警政業務,大隊業務,2795656147
警察局主管,警察局,警政業務,警隊業務,592321335
警察局主管,警察局,團隊補助,補助義勇警察大隊,36923039
警察局主管,警察局,團隊補助,補助民防團隊,24000000
警察局主管,警察局,團隊補助,補助交通義勇警察大,84975537
警察局主管,警察局,建築及設備,土地購置,36000000
警察局主管,警察局,建築及設備,營建工程,604156922
警察局主管,警察局,建築及設備,交通及運輸設備,93252000
警察局主管,警察局,建築及設備,其他設備,151530654
警察局主管,警察局,第一預備金,第一預備金,28500000
衛生局主管,衛生局,一般行政,行政管理,135498536
衛生局主管,衛生局,疾病管制業務,疾病管制工作,212143651
衛生局主管,衛生局,醫護管理業務,醫護管理工作,114315916
衛生局主管,衛生局,食品藥物管理業務,食品藥物管理工作,102883718
衛生局主管,衛生局,健康管理業務,健康管理工作,144822120
衛生局主管,衛生局,研究發展考核業務,研究發展考核工作,3370013989
衛生局主管,衛生局,檢驗業務,衛生檢驗,29614457
衛生局主管,衛生局,醫療保健福利業務,醫療福利計畫,352539705
衛生局主管,衛生局,建築及設備,營建工程,31322849
衛生局主管,衛生局,建築及設備,交通及運輸設備,1100000
衛生局主管,衛生局,建築及設備,其他設備,57866803
衛生局主管,衛生局,第一預備金,第一預備金,14000000
衛生局主管,松山區健康服務中心,一般行政,行政管理,8715308
衛生局主管,松山區健康服務中心,衛生業務,公共衛生,24504439
衛生局主管,松山區健康服務中心,建築及設備,營建工程,2660596
衛生局主管,松山區健康服務中心,建築及設備,其他設備,318749
衛生局主管,信義區健康服務中心,一般行政,行政管理,12609452
衛生局主管,信義區健康服務中心,衛生業務,公共衛生,25631016
衛生局主管,信義區健康服務中心,建築及設備,營建工程,1216678
衛生局主管,信義區健康服務中心,建築及設備,其他設備,350100
衛生局主管,大安區健康服務中心,一般行政,行政管理,11368299
衛生局主管,大安區健康服務中心,衛生業務,公共衛生,32775875
衛生局主管,大安區健康服務中心,建築及設備,營建工程,58150
衛生局主管,大安區健康服務中心,建築及設備,其他設備,468836
衛生局主管,中山區健康服務中心,一般行政,行政管理,9482511
衛生局主管,中山區健康服務中心,衛生業務,公共衛生,25130487
衛生局主管,中山區健康服務中心,建築及設備,營建工程,304098
衛生局主管,中山區健康服務中心,建築及設備,其他設備,259200
衛生局主管,中正區健康服務中心,一般行政,行政管理,9713212
衛生局主管,中正區健康服務中心,衛生業務,公共衛生,19943298
衛生局主管,中正區健康服務中心,建築及設備,其他設備,222000
衛生局主管,中正區健康服務中心,建築及設備,營建工程,0
衛生局主管,大同區健康服務中心,一般行政,行政管理,7930957
衛生局主管,大同區健康服務中心,衛生業務,公共衛生,19370020
衛生局主管,大同區健康服務中心,建築及設備,其他設備,151519
衛生局主管,萬華區健康服務中心,一般行政,行政管理,10569322
衛生局主管,萬華區健康服務中心,衛生業務,公共衛生,23842140
衛生局主管,萬華區健康服務中心,建築及設備,營建工程,6987000
衛生局主管,萬華區健康服務中心,建築及設備,其他設備,201131
衛生局主管,文山區健康服務中心,一般行政,行政管理,10563374
衛生局主管,文山區健康服務中心,衛生業務,公共衛生,28181601
衛生局主管,文山區健康服務中心,建築及設備,營建工程,6923425
衛生局主管,文山區健康服務中心,建築及設備,其他設備,201300
衛生局主管,南港區健康服務中心,一般行政,行政管理,8712712
衛生局主管,南港區健康服務中心,衛生業務,公共衛生,18206208
衛生局主管,南港區健康服務中心,建築及設備,其他設備,160236
衛生局主管,內湖區健康服務中心,一般行政,行政管理,10454542
衛生局主管,內湖區健康服務中心,衛生業務,公共衛生,27046521
衛生局主管,內湖區健康服務中心,建築及設備,營建工程,389803
衛生局主管,內湖區健康服務中心,建築及設備,其他設備,220900
衛生局主管,士林區健康服務中心,一般行政,行政管理,10701813
衛生局主管,士林區健康服務中心,衛生業務,公共衛生,30234958
衛生局主管,士林區健康服務中心,建築及設備,其他設備,269998
衛生局主管,北投區健康服務中心,一般行政,行政管理,8174388
衛生局主管,北投區健康服務中心,衛生業務,公共衛生,26643530
衛生局主管,北投區健康服務中心,建築及設備,其他設備,209100
衛生局主管,北投區健康服務中心,建築及設備,營建工程,0
環境保護局主管,環境保護局,一般行政,行政管理,174528354
環境保護局主管,環境保護局,公害防治,空氣噪音振動管制,23408909
環境保護局主管,環境保護局,公害防治,水污染防治及病媒環,85121295
環境保護局主管,環境保護局,公害防治,環境檢驗監測暨環評,29570969
環境保護局主管,環境保護局,垃圾處理與清潔維持,垃圾清運暨環境清潔,4247481369
環境保護局主管,環境保護局,垃圾處理與清潔維持,垃圾處理,414274621
環境保護局主管,環境保護局,資源回收與列管公廁,資源垃圾回收與列管,80208405
環境保護局主管,環境保護局,資源回收與列管公廁,公廁管理與整建,64278624
環境保護局主管,環境保護局,環境衛生指導,督導考核與訓練宣導,19151171
環境保護局主管,環境保護局,修車廠業務,汽車修護保養,150252778
環境保護局主管,環境保護局,環境保護回饋,垃圾處理回饋,214029929
環境保護局主管,環境保護局,建築及設備,土地購置,60320100
環境保護局主管,環境保護局,建築及設備,營建工程,53569686
環境保護局主管,環境保護局,建築及設備,交通及運輸設備,5400000
環境保護局主管,環境保護局,建築及設備,其他設備,32980165
環境保護局主管,環境保護局,第一預備金,第一預備金,8100000
環境保護局主管,衛生稽查大隊,一般行政,行政管理,37684987
環境保護局主管,衛生稽查大隊,衛生稽查業務,公害案件取締告發,156980632
環境保護局主管,衛生稽查大隊,建築及設備,營建工程,35926737
環境保護局主管,衛生稽查大隊,建築及設備,交通及運輸設備,1248000
環境保護局主管,衛生稽查大隊,建築及設備,其他設備,1685603
環境保護局主管,內湖垃圾焚化廠,一般行政,行政管理,59440960
環境保護局主管,內湖垃圾焚化廠,垃圾焚化業務,焚化規劃及操作,159028133
環境保護局主管,內湖垃圾焚化廠,建築及設備,其他設備,579398
環境保護局主管,內湖垃圾焚化廠,建築及設備,交通及運輸設備,0
環境保護局主管,內湖垃圾焚化廠,環境衛生及河川工程,垃圾處理工程,33800000
環境保護局主管,木柵垃圾焚化廠,一般行政,行政管理,45617191
環境保護局主管,木柵垃圾焚化廠,垃圾焚化業務,焚化規劃及操作,169758645
環境保護局主管,木柵垃圾焚化廠,建築及設備,其他設備,698410
環境保護局主管,木柵垃圾焚化廠,環境衛生及河川工程,垃圾處理工程,36680000
環境保護局主管,北投垃圾焚化廠,一般行政,行政管理,61810479
環境保護局主管,北投垃圾焚化廠,垃圾焚化業務,焚化規劃及操作,274006088
環境保護局主管,北投垃圾焚化廠,建築及設備,其他設備,852570
環境保護局主管,北投垃圾焚化廠,建築及設備,交通及運輸設備,0
環境保護局主管,北投垃圾焚化廠,環境衛生及河川工程,垃圾處理工程,36680000
都市發展局主管,都市發展局,一般行政,行政管理,190588009
都市發展局主管,都市發展局,都市發展,都市發展規劃,163137732
都市發展局主管,都市發展局,建築管理,建築管理審核及督導,21748823
都市發展局主管,都市發展局,建築及設備,其他設備,22959418
都市發展局主管,都市發展局,建築及設備,營建工程,0
都市發展局主管,都市發展局,住宅補貼,住宅業務補貼,448680893
都市發展局主管,都市發展局,作業基金,住宅基金,1943788000
都市發展局主管,都市發展局,接受補助業務支出,接受中央各部會補助,2000000
都市發展局主管,都市發展局,第一預備金,第一預備金,2300000
都市發展局主管,都市更新處,一般行政,行政管理,58489660
都市發展局主管,都市更新處,都市發展,都市更新,64048286
都市發展局主管,都市更新處,建築及設備,其他設備,2997900
都市發展局主管,都市更新處,建築及設備,營建工程,0
都市發展局主管,都市更新處,建築及設備,交通及運輸設備,0
都市發展局主管,建築管理工程處,一般行政,行政管理,75900911
都市發展局主管,建築管理工程處,建管業務,建築管理及違建處理,474759077
都市發展局主管,建築管理工程處,建築及設備,營建工程,22958661
都市發展局主管,建築管理工程處,建築及設備,交通及運輸設備,504000
都市發展局主管,建築管理工程處,建築及設備,其他設備,5389300
文化局主管,文化局,一般行政,行政管理,70021252
文化局主管,文化局,綜合計畫,文化環境之規劃,503405054
文化局主管,文化局,文化資產之保存,文化資產之維護與活,90847109
文化局主管,文化局,藝文工作之推動,藝文工作之策劃與推,571376735
文化局主管,文化局,社區文化之推動,社區文化生活之推動,81751429
文化局主管,文化局,文化設施之整建,文化設施興建及文化,20402867
文化局主管,文化局,建築及設備,營建工程,322954496
文化局主管,文化局,建築及設備,其他設備,4329488
文化局主管,文化局,建築及設備,交通及運輸設備,0
文化局主管,文化局,作業基金,臺北市文化設施發展,150000000
文化局主管,文化局,第一預備金,第一預備金,8250000
文化局主管,文化局,臺北文化藝術設施之推,臺北文化藝術設施籌,0
文化局主管,中山堂管理所,一般行政,行政管理,17526492
文化局主管,中山堂管理所,會場業務,會場管理,56825429
文化局主管,中山堂管理所,建築及設備,營建工程,6594459
文化局主管,中山堂管理所,建築及設備,其他設備,76787
文化局主管,文獻委員會,一般行政,行政管理,15033507
文化局主管,文獻委員會,文獻編纂,文獻編印,4772024
文化局主管,文獻委員會,文獻編纂,文獻整理運用,11683490
文化局主管,文獻委員會,文獻編纂,史蹟教育及推廣,8086280
文化局主管,文獻委員會,建築及設備,其他設備,4364375
文化局主管,文獻委員會,建築及設備,營建工程,0
文化局主管,文獻委員會,建築及設備,交通及運輸設備,0
文化局主管,市立美術館,一般行政,行政管理,80113380
文化局主管,市立美術館,美術館業務,美術展覽,140219516
文化局主管,市立美術館,美術館業務,美術品典藏及維護,15846912
文化局主管,市立美術館,美術館業務,推廣美術教育,60446953
文化局主管,市立美術館,美術館業務,研究美術學術,16273907
文化局主管,市立美術館,美術館業務,機械及設備維護,31944721
文化局主管,市立美術館,建築及設備,其他設備,46107958
文化局主管,市立美術館,建築及設備,營建工程,0
文化局主管,市立美術館,建築及設備,交通及運輸設備,0
文化局主管,市立交響樂團,一般行政,行政管理,27674164
文化局主管,市立交響樂團,交響樂團業務,演奏業務,181378233
文化局主管,市立交響樂團,交響樂團業務,研究與推廣,19899750
文化局主管,市立交響樂團,建築及設備,其他設備,2365275
文化局主管,市立交響樂團,建築及設備,營建工程,0
文化局主管,市立國樂團,一般行政,行政管理,20548108
文化局主管,市立國樂團,國樂團業務,國樂發展,145849315
文化局主管,市立國樂團,建築及設備,其他設備,3043450
文化局主管,市立國樂團,建築及設備,交通及運輸設備,0
文化局主管,市立社會教育館,一般行政,行政管理,28382599
文化局主管,市立社會教育館,社教館業務,社教業務,148760276
文化局主管,市立社會教育館,社教館業務,活動中心管理,43788890
文化局主管,市立社會教育館,建築及設備,營建工程,44061998
文化局主管,市立社會教育館,建築及設備,其他設備,1228300
消防局主管,消防局,一般行政,行政管理,310448327
消防局主管,消防局,消防業務,災害防救業務,119952202
消防局主管,消防局,消防業務,消防工作,515976490
消防局主管,消防局,消防業務,大隊救災救護業務,1589224616
消防局主管,消防局,接受補助業務支出,接受中央各部會補助,4064000
消防局主管,消防局,建築及設備,土地購置,22863000
消防局主管,消防局,建築及設備,營建工程,76763689
消防局主管,消防局,建築及設備,交通及運輸設備,119974000
消防局主管,消防局,建築及設備,其他設備,116575854
消防局主管,消防局,接受補助建設支出,接受中央各部會補助,2799600
消防局主管,消防局,第一預備金,第一預備金,4300000
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,一般行政,行政管理,66541005
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,水庫管理,水庫管理,171111509
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,建築及設備,營建工程,38860000
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,建築及設備,交通及運輸設備,1095000
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,建築及設備,其他設備,39016850
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,臺北水源特定區設施,臺北水源特定區設施,1000
臺北翡翠水庫管理局主管,臺北翡翠水庫管理局,第一預備金,第一預備金,600000
觀光傳播局主管,觀光傳播局,一般行政,行政管理,43737064
觀光傳播局主管,觀光傳播局,綜合行銷,市政及觀光綜合行銷,81149340
觀光傳播局主管,觀光傳播局,觀光旅遊規劃與管理,觀光政策發展及規劃,84439169
觀光傳播局主管,觀光傳播局,觀光旅遊規劃與管理,觀光產業管理業務,47791115
觀光傳播局主管,觀光傳播局,觀光旅遊規劃與管理,城市旅遊規劃與推廣,75564382
觀光傳播局主管,觀光傳播局,出版及媒體輔導管理,行銷出版暨媒體服務,66589192
觀光傳播局主管,觀光傳播局,出版及媒體輔導管理,傳播事業輔導及管理,30506490
觀光傳播局主管,觀光傳播局,視聽資訊業務,視聽製作及資訊業務,11433127
觀光傳播局主管,觀光傳播局,建築及設備,營建工程,15105200
觀光傳播局主管,觀光傳播局,建築及設備,其他設備,2702500
觀光傳播局主管,觀光傳播局,建築及設備,交通及運輸設備,0
觀光傳播局主管,觀光傳播局,第一預備金,第一預備金,1800000
觀光傳播局主管,臺北廣播電臺,一般行政,行政管理,14458533
觀光傳播局主管,臺北廣播電臺,廣播業務,節目及工務管理,34181964
觀光傳播局主管,臺北廣播電臺,建築及設備,其他設備,636114
觀光傳播局主管,臺北廣播電臺,建築及設備,營建工程,0
地政局主管,地政局,一般行政,行政管理,88430906
地政局主管,地政局,地政業務,實施平均地權與不動,273353071
地政局主管,地政局,建築及設備,其他設備,6109455
地政局主管,地政局,建築及設備,營建工程,0
地政局主管,地政局,第一預備金,第一預備金,2000000
地政局主管,土地開發總隊,一般行政,行政管理,44603018
地政局主管,土地開發總隊,促進土地利用,土地開發,39439402
地政局主管,土地開發總隊,地籍管理,地籍測量,63838660
地政局主管,土地開發總隊,建築及設備,其他設備,1710500
地政局主管,土地開發總隊,建築及設備,交通及運輸設備,0
地政局主管,松山地政事務所,一般行政,行政管理,37331491
地政局主管,松山地政事務所,地籍管理,地籍登記測量及管理,84011582
地政局主管,松山地政事務所,建築及設備,交通及運輸設備,545000
地政局主管,松山地政事務所,建築及設備,其他設備,1278749
地政局主管,大安地政事務所,一般行政,行政管理,31013765
地政局主管,大安地政事務所,地籍管理,地籍登記測量及管理,65212294
地政局主管,大安地政事務所,建築及設備,營建工程,3709588
地政局主管,大安地政事務所,建築及設備,交通及運輸設備,545000
地政局主管,大安地政事務所,建築及設備,其他設備,2105921
地政局主管,中山地政事務所,一般行政,行政管理,35895108
地政局主管,中山地政事務所,地籍管理,地籍登記測量及管理,80443279
地政局主管,中山地政事務所,建築及設備,營建工程,71509
地政局主管,中山地政事務所,建築及設備,交通及運輸設備,545000
地政局主管,中山地政事務所,建築及設備,其他設備,1803628
地政局主管,古亭地政事務所,一般行政,行政管理,30599579
地政局主管,古亭地政事務所,地籍管理,地籍登記測量及管理,64973648
地政局主管,古亭地政事務所,建築及設備,營建工程,757986
地政局主管,古亭地政事務所,建築及設備,交通及運輸設備,545000
地政局主管,古亭地政事務所,建築及設備,其他設備,1685372
地政局主管,建成地政事務所,一般行政,行政管理,31550177
地政局主管,建成地政事務所,地籍管理,地籍登記測量及管理,58519983
地政局主管,建成地政事務所,建築及設備,其他設備,1448600
地政局主管,建成地政事務所,建築及設備,交通及運輸設備,0
地政局主管,士林地政事務所,一般行政,行政管理,33614141
地政局主管,士林地政事務所,地籍管理,地籍登記測量及管理,91539853
地政局主管,士林地政事務所,建築及設備,交通及運輸設備,1090000
地政局主管,士林地政事務所,建築及設備,其他設備,979494
兵役局主管,兵役局,一般行政,行政管理,77220399
兵役局主管,兵役局,役政業務,兵調體檢業務,14162609
兵役局主管,兵役局,役政業務,徵集勤務業務,28272624
兵役局主管,兵役局,役政業務,權益編管業務,52556091
兵役局主管,兵役局,役政業務,替代役業務,12414582
兵役局主管,兵役局,建築及設備,營建工程,16947814
兵役局主管,兵役局,建築及設備,交通及運輸設備,545000
兵役局主管,兵役局,建築及設備,其他設備,2359045
兵役局主管,兵役局,第一預備金,第一預備金,1000000
臺北自來水事業處主管,臺北自來水事業處,一般行政,行政管理,1300000
臺北自來水事業處主管,臺北自來水事業處,建築及設備,營建工程,55400000
臺北自來水事業處主管,臺北自來水事業處,營業基金,臺北自來水事業處資,161777378
體育局主管,體育局,一般行政,行政管理,184368341
體育局主管,體育局,體育業務,體育發展,46108457
體育局主管,體育局,體育業務,運動設施管理維謢,137193580
體育局主管,體育局,體育業務,體育活動推展,477803673
體育局主管,體育局,體育業務,2017世大運籌備,2994993278
體育局主管,體育局,建築及設備,營建工程,21774288
體育局主管,體育局,建築及設備,其他設備,45464706
體育局主管,體育局,第一預備金,第一預備金,9757000
體育局主管,體育局,接受補助建設支出,接受中央各部會補助,551911865
資訊局主管,資訊局,一般行政,行政管理,28892770
資訊局主管,資訊局,資訊管理業務,資訊管理、推動及應,494201685
資訊局主管,資訊局,建築及設備,營建工程,550000
資訊局主管,資訊局,建築及設備,其他設備,69627332
資訊局主管,資訊局,建築及設備,交通及運輸設備,0
資訊局主管,資訊局,第一預備金,第一預備金,600000
法務局主管,法務局,一般行政,行政管理,36208395
法務局主管,法務局,訴願審議業務,辦理人民訴願,44370087
法務局主管,法務局,法規業務,法規整編及法令研究,32444339
法務局主管,法務局,國家賠償業務,賠償審議,2108635
法務局主管,法務局,消保業務,消保爭議及綜合業務,24384217
法務局主管,法務局,採購爭議處理,採購爭議處理,10060497
法務局主管,法務局,建築及設備,營建工程,31868
法務局主管,法務局,建築及設備,其他設備,955303
法務局主管,法務局,第一預備金,第一預備金,820000
捷運工程局主管,捷運工程局,一般行政,行政管理,10000
捷運工程局主管,捷運工程局,捷運系統工程,捷運系統工程,0
其他支出,公務人員退休及撫卹給付,公務人員退休及撫卹給,公務人員退休及撫卹,5187898417
其他支出,公務人員福利互助補助,公務人員福利互助補助,公務人員福利互助補,666366359
其他支出,國家賠償金,國家賠償金,國家賠償金,35000000
其他支出,公務人員(工)待遇準備,公務人員(工)待遇準備,公務人員(工)待遇準,300000000
其他支出,災害準備金,災害準備金,災害準備金,700000000
第二預備金,第二預備金,第二預備金,第二預備金,1500000000
